comments,label
지드래곤은 난봉꾼이란...댓글도 달렸네 ㅋㅋ 이주연 학창시절 사진 보고 와라. 요즘 웬만한 여자 연예인하고 붙여놔도....미모가 최고였단다.ㅋ 5대 얼짱 출신.,none
이주연은 알겠는데 지디는 뭐하는 듣보잡여,hate
부럽네요. 나도 불과 한달전까진 허니문베이비를 꿈꿨는데 이제 다 부질없네요. 당연히 순결할거라 믿었고 그래서 첫날밤까지 기다려준건데 배신감만 듭니다. 첫날밤 와이프가 피를 안흘렸어요. 처가집식구들이 일부러 절 속였단 생각에 화도나고 어제 처가집가기로 했는데 안간다고 했더니 혼자 울고 갔다와서 지금까지 한마디도 안해요. 이혼하고 싶네요,offensive
"이주연을 모르는 애들이 많네. 해체된 애프터스쿨 멤버로 당시는 주연이 예명. 인기나 포텐은 안터졌으나, 순수미모만으로는 애프터스쿨에서 원탑이었다. 진짜 자연미인이다.",none
겨론했으면,none
이주연이 아깝다 진심,hate
방탄은 건드리지말자 인간적으로.. 해외활동 지금주터 시작인데 터지면 진짜 전 세계적으로 활짝 피기도 전에 난리난다.. 국위선양하는 떠오르는 샛별은 제발 건드리지말고.. 탄이들도 만약 연애하더라도 들키지 않길.. ㅠㅠ,none
선남선녀의 만남이네요^^,none
문재앙 또뭘덥고 싶어서 ㄷㄷㄷ,hate
주연이 아깝긴해요,offensive
지디는 아이유랑 너무 잘 어울리는데. 아쉽당~마지막은 아이유랑 해 주세요~ 인류의 축복을 위해서^^,none
오빠 좀 괴롭지 마요,offensive
너희 실수했어 사람 잘못골랐어 이거 오보야,offensive
모두가 거짓기사임..같이 찍은 사진도 없고 지디가 아니라고 분명히 못을 박았음..집근처 사진은 나도 하겠다..구하라 설리도 연합했니? 사진보니 친구인거 같던데? 여기서 왜나와? 이제 안되니까 치밀하게 계획해서 몰아가기 알바쓰고 제대로 한건 크게 관종짓을 했네..ㅉㅉ..알바들이나 믿지..대중은 안 믿어...스쳐간 인연 스토커짓 이제 접어라...제발~~~,hate
문재앙이 발악하고 있네,hate
매력적이네 친구가 참 여자여자네,none
이주연 진짜 예쁘긴함 ㅇㅇ,none
솔직히 사귀던가 말던가 상관없지만 사실만 말하면 저날 승리가 펜션에 놀러간걸로 알고있는데..? 단둘이서 노는데 눈치없이 펜션에 놀러갔을까? 게다가 지디보다 매니져랑 찍힌 사진이 더 많은걸보니 매니져랑 사귀는거 아님?,offensive
"주연이는 구혜선,박한별과 함께....5대 얼짱이었는데...무슨 급이 안맞다고 지롤떠냐?? 악플다는 니들 지드래곤 빠순이들은....거울도 안보냐?? 니가 더 이뻐??? 양심껏 대답해봐 ㅋㅋㅋ",hate
모두가 거짓기사임..같이 찍은 사진도 없고 지디가 아니라고 분명히 못을 박았음..집근처 사진은 나도 하겠다..구하라 설리도 연합했니? 사진보니 친구인거 같던데? 여기서 왜나와? 이제 안되니까 치밀하게 계획해서 몰아가기 알바쓰고 제대로 한건 크게 관종짓을 했네..ㅉㅉ..알바들이나 믿지..대중은 안 믿어..완전 스토커 여자라도 소름끼친다.,hate
