,0
0,이
4,있
5,하
6,것
7,들
9,그
11,되
12,수
13,보
14,않
15,없
16,나
20,사람
21,주
22,아니
23,등
24,같
25,우리
28,때
29,년
30,가
31,한
32,지
33,대하
34,오
36,말
38,일
44,그렇
45,위하
46,때문
47,그것
48,두
49,말하
50,알
51,그러나
53,받
54,못하
55,그런
56,또
57,문제
58,더
59,사회
60,많
61,그리고
63,좋
64,크
65,따르
66,중
67,나오
68,가지
69,씨
70,시키
71,만들
72,지금
73,생각하
74,그러
75,속
76,하나
78,집
79,살
80,모르
81,적
82,월
83,데
84,자신
85,안
86,어떤
87,내
89,경우
90,명
91,생각
92,시간
93,그녀
94,다시
95,이런
96,앞
97,보이
98,번
99,다른
101,어떻
102,여자
103,개
104,전
105,사실
106,이렇
107,점
108,싶
109,정도
110,좀
112,원
113,잘
114,통하
115,소리
116,놓
117,아
118,휴
120,아이구
121,아이쿠
122,아이고
123,어
124,저희
126,따라
128,의해
130,을
131,를
132,에
133,의
134,으로
135,로
136,에게
137,뿐이다
139,의거하여
141,근거하여
143,입각하여
144,기준으로
145,예하면
147,예를 들면
148,예를 들자면
149,저
150,소인
151,소생
152,지말고
153,하지마
154,하지마라
155,물론
156,또한
158,비길수 없다
159,해서는 안된다
160,뿐만 아니라
161,만이 아니다
162,만은 아니다
163,막론하고
164,관계없이
165,그치지 않다
166,그런데
167,하지만
170,든간에
171,논하지 않다
172,따지지 않다
173,설사
174,비록
175,더라도
176,아니면
178,만 못하다
179,하는 편이 낫다
181,불문하고
182,향하여
183,향해서
184,향하다
185,쪽으로
186,틈타
187,이용하여
188,타다
189,오르다
190,제외하고
191,이 외에
192,이 밖에
193,하여야
194,비로소
195,한다면 몰라도
196,외에도
197,이곳
198,여기
200,부터
201,기점으로
202,따라서
203,할 생각이다
204,하려고하다
206,이리하여
208,그리하여
210,그렇게 함으로써
211,일때
212,할때
213,앞에서
214,중에서
215,보는데서
216,으로써
217,로써
219,까지
221,해야한다
223,일것이다
225,반드시
226,할줄알다
227,할수있다
228,할수있어
229,임에 틀림없다
230,한다면
231,등등
232,제
233,겨우
234,단지
236,다만
237,할뿐
238,딩동
239,댕그
240,대해서
241,대하여
243,대하면
244,훨씬
245,얼마나
246,얼마만큼
247,얼마큼
248,남짓
249,여
250,얼마간
251,약간
252,다소
253,조금
254,다수
255,몇
257,얼마
258,지만
259,하물며
262,그렇지만
264,이외에도
265,대해 말하자면
